id,director
57028,george huang
91499,kevin dowling
72629,geoff burton
64030,kelly makin
56891,rachel talalay
15521,ernest r. dickerson
2380,david carson
141825,rusty cundieff
58080,brian gilbert
11770,john carpenter
13426,peter segal
15389,louis malle
1884,steven soderbergh
76705,preston a. whitmore ii
12962,jon turteltaub
1230367,mina shum
3045,p.j. hogan
83313,melanie mayron
4499,tom shadyac
27889,stephan elliott
13015,phillip noyce
16853,jessie nelson
21085,alex proyas
4037,ron shelton
13581,brian levant
24,robert zemeckis
6482,john singleton
81727,darnell martin
41550,andrew bergman
7775,stephen sommers
226963,ray müller
15812,roger allers
18898,rob minkoff
4956,bernardo bertolucci
26713,chuck russell
72427,alan rudolph
7399,ben stiller
18281,donald petrie
83588,robert allan ackerman
323,curtis hanson
2209,jan de bont
33485,ron underwood
2710,james cameron
46085,luis mandoki
42301,damian harris
158634,suri krishnamma
72125,jefery levy
35689,keenen ivory wayans
133183,robert lee king
1066114,brian sloan
1087439,raoul o'connell
234793,yves angelo
4590,russ meyer
67896,doug mchenry
80537,dave borthwick
1726,steven e. de souza
486,wallace wolodarsky
126837,michael a. nickles
1142481,paul warner
532207,vincent robert
129216,theodore thomas
1382436,lucas platt
1385254,ross kagan marks
220152,paul williams
4040,robert wuhl
16401,roberto sneider
223910,jack baxter
1410160,jefri aalmuhammed
53599,andrew morahan
77076,michael corrente
16513,john g. avildsen
88060,jeff pollack
15106,thomas schlamme
7145,michael lehmann
12988,paul michael glaser
42171,jonathan kaplan
78188,whit stillman
68687,bill forsyth
4610,john landis
1901,caroline thompson
2042,stephen hopkins
32765,tony richardson
14800,jennifer chambers lynch
380,robert de niro
57107,adam resnick
61175,john whitesell
1150,brian de palma
66548,paul weiland
8843,mick jackson
18308,steve barron
21806,richard rush
12964,michael ritchie
27236,gregg champion
58838,marco brambilla
86,bruce brown
1895,carl reiner
20640,chen kaige
2690,peter weir
50949,alek keshishian
10967,steve kloves
17784,john irvin
18254,simon wincer
52358,boaz yakin
172993,rose troche
5696,bruce beresford
39996,sidney lumet
12936,jim abrahams
94996,julianna lavin
65859,christopher monger
19684,bille august
77733,eric meza
1223,joel coen
3388,james l. brooks
774,"daniel petrie, jr."
53334,jim sheridan
230059,matty rich
488,steven spielberg
58498,dominic sena
8297,roger avary
40549,daniel petrie
90037,james lapine
57147,paul hogan
71192,greg coote
224,david cronenberg
2523,stuart baird
46230,nagisa ōshima
119232,tom noonan
2239,anthony minghella
65452,mike leigh
16939,michael tolkin
57206,sally potter
16294,jonathan demme
10757,jane campion
29482,stuart orme
141450,mel smith
14911,penny marshall
648,philip kaufman
9168,alan parker
44056,fred dekker
21377,peter medak
65026,geoffrey wright
138322,victor nunez
15858,tim hunter
127283,cyril collard
2260,steven zaillian
8969,chris menges
10367,john waters
52968,russell mulcahy
4786,richard attenborough
33405,gillies mackinnon
54590,steve rash
63943,rowdy herrington
111687,arthur joffé
58164,annabel jankel
58165,rocky morton
45645,deran sarafian
78012,françois girard
41549,andrew fleming
57646,henry selick
16566,george p. cosmatos
53387,heywood gould
21113,d.a. pennebaker
115891,chris hegedus
74299,pixote hunt
1164376,maurice hunt
1212571,jerry ciccoritti
70241,jennifer warren
85547,mark malone
66605,todd solondz
20718,claude berri
2778,dennis hopper
10828,guillermo del toro
69696,daniel algrant
309,pedro almodóvar
6220,gurinder chadha
3030,andrew scheinman
91565,åke sandgren
1006705,eva sereny
26265,lina wertmüller
1354907,rémy duchemin
1174031,george t. miller
105114,ricky tognazzi
67756,michael austin
109402,rob epstein
109403,jeffrey friedman
69488,nanni moretti
1066960,maría luisa bemberg
31024,betty thomas
15810,ron clements
15811,john musker
1269,kevin costner
589306,steve cohen
5446,david hand
62047,gary trousdale
62048,kirk wise
11429,hamilton luske
11426,ben sharpsteen
125340,yuri mamin
7767,sam peckinpah
78258,c.m. talkington
134026,huang jianxin
1080040,jean bach
54967,sam weisman
15557,bill condon
116607,stephen poliakoff
4755,david r. ellis
70616,gerald potterton
176246,kevin yagher
55116,joe chappelle
32278,matt reeves
24657,franco zeffirelli
75474,anna campion
49552,franco brusati
57314,wolfgang reitherman
37526,fernando trueba
116103,bill couturié
6818,werner herzog
96627,andré téchiné
54767,mika kaurismäki
1044284,férid boughedir
78029,martin lawrence
72619,stacy title
17812,gregory hoblit
173004,clément virgo
69719,bruno barreto
71852,paul sabella
952327,larry leker
974388,hal salwen
70835,jonathan r. betuel
73496,richard pearce
230320,todd verow
21217,jonathan lynn
20773,tim sullivan
34682,jeremiah s. chechik
69537,hervé palud
43440,martin enlen
68998,carlo rola
20789,claude sautet
6759,friðrik þór friðriksson
2182,pen densham
1869,sönke wortmann
105617,park chul-soo
18878,rob cohen
14614,joseph vilsmaier
26595,michael verhoeven
80526,gray hofmeyr
559920,richard wherrett
9740,rené clément
4173,anthony hopkins
47773,paul mazursky
15254,emir kusturica
96934,bo widerberg
115983,alan mehrez
12160,satyajit ray
30021,jim mallon
23677,joe pytka
53767,roger vadim
98940,catherine cyran
98094,brett piper
37852,george hickenlooper
3776,jean-luc godard
20556,bertrand tavernier
3097,gordon willis
8876,randal kleiser
1080036,michael blakemore
39298,margarethe von trotta
104404,norberto barba
585248,eli cohen
43786,robert mandel
1046169,pat verducci
172,michael winterbottom
73838,steven baigelman
42113,zalman king
1661328,barry caillier
56059,patrick read johnson
81964,stijn coninx
11147,john cassavetes
129708,stacy cochran
15111,jean-claude van damme
59438,mark joffe
104507,steve gomer
71792,george scribner
1175207,tom decerchio
129941,alan shapiro
1016352,angela pope
1585647,betty kaplan
4429,jim jarmusch
25950,jean-paul rappeneau
31310,jack hill
108499,manuel gómez pereira
64909,jean-marie poiré
940684,brett thompson
1093108,francesco sframeli
1093110,spiro scimone
124237,stephen quay
124238,timothy quay
18500,phil joanou
19266,larry cohen
29706,harvey miller
87680,michele soavi
70792,david hogan
16988,maurice pialat
564791,gabriel barylli
12180,mamoru oshii
64796,tom holland
65548,rick friedberg
145304,udayan prasad
7314,nick park
81976,abraham polonsky
28239,david twohy
93906,robert z. leonard
240,stanley kubrick
97579,guy maddin
153908,john o'brien
114468,kevin james dobson
14860,victor saville
1090082,helena solberg
1209349,ebrahim forouzesh
223825,freida lee mock
229695,david keating
366,james mangold
1776,francis ford coppola
16378,mary harron
122728,charles matthau
1009298,goran paskaljević
1184422,mwezé ngangura
24409,benoît lamy
1177451,jean-pierre bekolo
1079380,djibril diop mambéty
1153142,gaston kaboré
4415,federico fellini
990400,victoria foyt
21415,robby henson
1214396,scott winant
240366,carma hinton
30811,richard gordon
592762,lucian pintilie
544331,gazdag gyula
41521,gérard mordillat
262130,mel chionglo
1144694,christopher larkin
138795,laurent heynemann
18320,bronwen hughes
56539,nicole holofcener
28615,éric rohmer
66076,fraser clarke heston
40230,kevin hooks
1059880,ildikó enyedi
2357,howard franklin
30869,mitch marcus
1046588,jaime hellman
14132,nicolas roeg
15042,arlene sanford
225140,maurizio nichetti
87397,paul turner
56201,peter sehr
1870,gernot roll
48685,rolf silber
6258,peter weck
81749,manoel de oliveira
71110,john payson
28904,hugh wilson
179609,nigel finch
7678,hart bochner
183036,doug ellin
119310,annette haywood-carter
518,danny devito
32983,douglas mcgrath
65602,tim pope
92554,harry winer
37302,georges franju
10953,gilbert adler
1080308,john rubino
1189125,yin li
146295,yim ho
117808,marcus deleon
1232954,lee david zlotoff
107730,tran anh hung
7482,julian schnabel
112674,rolf de heer
587603,keisuke kinoshita
24485,nicole garcia
252740,leone pompucci
1112331,zheng jun-li
124092,lisa krueger
125690,mikio naruse
9340,lana wachowski
9339,lilly wachowski
133259,arthur hiller
1155073,john ruane
1276348,peter shaner
71174,tsai ming-liang
64219,daniel schmid
69042,tim metcalfe
232119,izidore k. musallam
205639,jim mckay
118513,karim dridi
13776,john frankenheimer
42175,richard stanley
69741,david m. evans
508,david koepp
17046,gary winick
6361,nick hamm
24346,roy allen smith
28889,theo van gogh
98750,trevor nunn
33054,keith gordon
14353,max ophüls
587971,jan jakub kolski
10790,sam wood
14674,george cukor
13284,stanley donen
13294,gene kelly
13980,vincente minnelli
1927,blake edwards
2636,alfred hitchcock
2662,frank capra
30165,mark sandrich
3146,billy wilder
4109,michael curtiz
6593,john huston
10001,william wyler
80570,walter lang
9049,victor fleming
40,orson welles
108914,mitchell leisen
10601,joseph l. mankiewicz
30008,leo mccarey
2428,ernst lubitsch
67426,william keighley
29595,rouben mamoulian
834,otto preminger
74659,gregory la cava
18738,george stevens
2746,elia kazan
32427,w.s. van dyke
11435,howard hawks
20412,michael anderson
8741,victor sjöström
14643,william a. wellman
31497,john cromwell
81165,archie mayo
95293,busby berkeley
33064,henry koster
50302,james edward grant
2000,lewis milestone
13348,howard hughes
14999,george a. romero
3632,richard brooks
148849,victor schertzinger
14855,frank borzage
78053,edwin l. marin
72467,thaddeus o'sullivan
35452,corey yuen kwai
86051,joshua logan
1063201,chris newby
76462,richard schenkman
1468019,allan miller
68212,carroll ballard
549024,lance young
26767,ringo lam
21371,amy holden jones
4756,matthew broderick
2283,stanley tucci
55152,campbell scott
86293,robert m. young
27846,john herzfeld
71825,reb braddock
584483,rené gainville
1217874,john walsh
35155,john gray
27146,robert lieberman
83413,norman tokar
87459,norman foster
19032,john hough
5834,robert stevenson
29715,david swift
6592,duwayne dunham
30099,charles barton
35318,ken annakin
2087,richard fleischer
56506,william dear
64864,clyde geronimi
11434,wilfred jackson
11427,william roberts
74565,jack kinney
103344,harold young
226599,norman ferguson
9082,harold d. schuster
5691,samuel armstrong
25558,don chaffey
67604,ted berman
67607,art stevens
55117,matthew bright
1744,robert wise
11151,nick cassavetes
1006852,iara lee
31,tom hanks
59649,michael pressman
46946,joseph bologna
67570,hettie macdonald
1158,al pacino
884,steve buscemi
54448,ismail merchant
9200,john mcnaughton
78997,leon ichaso
6201,baz luhrmann
11694,doug liman
12114,michael cimino
324,scott silver
56852,tad stones
32919,anthony asquith
64114,edward dmytryk
2891,josef von sternberg
2765,nicholas ray
117083,aaron kim johnston
3451,mel stuart
71938,jan bucquoy
25630,jack clayton
8929,charles crichton
10707,terry jones
6448,arthur penn
14520,john sturges
123827,frédéric mitterrand
716,emile ardolino
16544,ted kotcheff
6349,alan j. pakula
1096170,sam henry kass
144130,michael covert
56746,greg spence
928583,hugo van lawick
939320,michael kreihsl
1124024,temístocles lópez
57226,claude nuridsany
57227,marie pérennou
47005,alan taylor
1114467,chris cullari
229263,benoît jacquot
107490,jaco van dormael
22558,nils gaup
1086972,peter cohn
3974,miloš forman
53345,rich wilkes
89814,r. j. cutler
621628,david van taylor
21958,mark rydell
16672,ate de jong
4600,joe dante
259792,gustavo graef-marino
34611,howard zieff
1115333,bruce labruce
1388631,rick castro
932368,russ hexter
1415878,sharon pollack
109635,michael ray rhodes
121585,raúl ruiz
1080611,susan w. dryfoos
159767,john l'ecuyer
65608,leon gast
38494,daniel vigne
83784,jan švankmajer
40199,anthony mann
81930,alfred l. werker
12329,vittorio de sica
70854,jean delannoy
82389,norman z. mcleod
89914,elliott nugent
10249,volker schlöndorff
933201,martine dugowson
1038016,nina menkes
54839,eric red
22020,barbara kopple
929918,cathy caplan
929919,tom haneke
929920,lawrence silk
82442,phillip rhee
30309,peter greenaway
21175,michel blanc
36804,peter chelsom
31155,fred olen ray
55916,gabriele salvatores
18533,errol morris
64073,mark aldo miceli
107831,jennie livingston
69500,lou adler
10930,irvin kershner
4385,sergio leone
8966,bruce robinson
12238,david lean
8482,robert mulligan
19800,richard marquand
2303,wim wenders
15378,carol reed
5026,akira kurosawa
8500,john ford
8452,andrei tarkovsky
9577,george roy hill
4964,hal ashby
6648,ingmar bergman
372,tom stoppard
87565,savage steve holland
68,fritz lang
37451,jean-jacques beineix
55790,allan moyle
13265,franklin j. schaffner
185,katsuhiro ōtomo
13859,stuart rosenberg
13848,charlie chaplin
5690,james algar
11428,paul satterfield
11430,jim handley
11431,ford beebe
11432,t. hee
4065,fred zinnemann
16187,jeannot szwarc
68993,godfrey reggio
12300,fred m. wilcox
23968,phil alden robinson
92436,keoni waxman
227875,john g. young
105802,doug pray
110834,john murlowski
135163,susan streitfeld
34721,larry bishop
186758,jon sherman
116799,greta schiller
144256,herb gardner
83555,carl prechezer
52194,tony randel
1673596,steve white
35256,damiano damiani
548847,tom bery
18627,paul morrissey
62556,fred walton
56141,irvin s. yeaworth jr.
178486,jeffrey bloom
2917,james whale
29648,dan curtis
18669,j. lee thompson
1035,paul schrader
9076,f.w. murnau
59622,augusto caminito
100053,mario caiano
88164,luigi cozzi
14277,klaus kinski
100054,maurizio lucidi
19450,bob rafelson
1979,kevin spacey
10400,barbra streisand
42,lars von trier
22676,ole bornedal
2388,jonathan frakes
33433,scott hicks
879,billy bob thornton
15189,michelangelo antonioni
69237,joe berlinger
69238,bruce sinofsky
95972,hans petter moland
37626,patrice leconte
236579,curzio malaparte
9888,claire denis
1788,nicholas meyer
1748,william shatner
1749,leonard nimoy
56755,patricia birch
1202000,daniel j. sullivan
86004,joseph h. lewis
8558,joe alves
13235,alexander payne
11649,cameron crowe
1224,ethan coen
5657,anjelica huston
59635,jerry zaks
1495632,martin donovan
17403,mike judge
68319,robert harling
2589,terry george
69099,dan ireland
13,albert brooks
118441,murray lerner
88970,ralph ziman
127716,robert young
101767,robert butler
28741,michael rymer
5058,roger christian
52038,thomas carter
5005,françois dupeyron
16838,steven paul
2355,andrew birkin
34651,peter baldwin
68928,e. max frye
932805,stefan schwietert
11688,jan svěrák
6198,vondie curtis-hall
13524,christopher guest
71871,sergei bodrov jr.
58922,craig rosenberg
60865,r. paul miller
47974,bob spiers
69353,stephen kessler
5602,david lynch
82307,merzak allouache
107131,peter spirer
33541,mark christopher
56947,peggy rajski
137392,nickolas perry
120515,theodore witcher
54733,greg mottola
61411,mark dindal
68750,robert townsend
142513,emma-kate croghan
50099,shuki levy
52044,david winning
26760,tsui hark
58294,george armitage
51575,leslie greif
1215282,lynne stopkewich
2691,tom schulman
356,jack green
73622,alex sichel
1032175,seth zvi rosenfeld
48663,nana dzhordzhadze
58178,david mirkin
61335,peter duncan
6737,jay roach
7213,jonathan mostow
938945,gregor nicholas
74063,daniel taplitz
974866,mo ogrodnik
2628,kiefer sutherland
92108,l.a. puopolo
17268,ronny yu
4724,kevin bacon
6817,agnès varda
171000,joe mantello
68707,masayuki suo
83284,dee mclachlan
228286,duncan mclachlan
36083,kevin allen
2171,griffin dunne
55299,mark herman
8403,david hare
118020,jacques doillon
79983,dale rosenbloom
2880,emilio estevez
133420,clare peploe
12786,simon west
1143633,julia dyer
222216,laetitia masson
563363,robert patton-spruill
66496,adrienne shelly
60050,dana lustig
7847,jim wilson
56435,stephen t. kay
1078811,yvonne rainer
58608,shinya tsukamoto
17520,cédric klapisch
120226,mohsen makhmalbaf
41040,tony gatlif
1284919,scott michell
181826,shirley barrett
8328,john milius
87130,mark a.z. dippé
1270,charles martin smith
58689,neil labute
64099,sam pillsbury
19142,kenneth johnson
1103,bill duke
80307,andy cadiff
11091,brett ratner
70765,john nicolella
18139,tony vitale
61069,miguel arteta
51984,mimi leder
66121,"george tillman, jr."
586698,matthew harrison
11419,robert kurtzman
77211,félix enríquez alcalá
533977,john patrick kelley
65115,keith samples
115362,gavin wilding
229097,lionel c. martin
57630,peter cattaneo
1112916,nancy meckler
18844,john madden
33254,jim gillespie
76418,stuart gillard
28487,andy wilson
54050,mark waters
8685,andrew niccol
77104,charles sturridge
1286930,john o'hagan
66800,morgan j. freeman
51864,kasi lemmons
7671,jeb stuart
21155,jim kouf
59874,robert downey sr.
27436,costa-gavras
74429,josh pate
77086,jonas pate
4762,paul thomas anderson
88077,alex zamm
7791,peter howitt
26714,john r. leonetti
3192,billy hopkins
12881,gary goldman
40345,don bluth
105287,scott harris
3087,robert duvall
78725,agnès merlet
84896,sean mathias
77465,ash baron-cohen
240071,louis saïa
1215,raja gosnell
58809,martin kitrosser
1704,gore verbinski
1058100,cindy sherman
56983,rodney gibbons
98120,bret mccormick
1724,roger spottiswoode
1352792,seth michael donsky
49855,gaël morel
4137,richard friedenberg
4566,alan rickman
96972,alain berliner
129952,sean mcnamara
105294,george mendeluk
57777,darin scott
656971,joseph dorman
4501,dean semler
41795,manny coto
30149,mikael salomon
94155,stefan schwartz
138653,brian evans
18694,bret michaels
65401,charlie peters
107762,alexander sokurov
20907,antoine fuqua
72182,mark pavia
1214641,millicent shelton
57370,frank coraci
939416,michael paxton
44644,robert dornhelm
1214449,roberto benabib
22140,kari skogland
228797,richard kwietniowski
139593,jorge fons
86557,david breashears
90225,stephen judson
90223,greg macgillivray
974699,jonathan darby
41472,peter o'fallon
2460,randall wallace
120218,john roberts
3317,takeshi kitano
36187,bob gosse
11614,m. night shyamalan
122458,howard goldberg
56381,james toback
72258,steve boyum
9778,ice cube
558905,craig lahiff
1255,david mamet
121829,barnet kellman
51851,jake kasdan
64,gary oldman
568291,john johnson
48965,anthony hickox
87033,julie davis
97618,david decoteau
84714,juan josé campanella
55948,alan smithee
1213162,todd holland
62410,sammo hung
119294,abbas kiarostami
123150,mike van diem
7736,pål sletaune
8108,john warren
16376,larry david
58036,kirk wong
47924,carl schenkel
77919,tim mccanlies
526847,leonid boyko
543662,vyacheslav krishtofovich
1069294,james f. robinson
145134,jill sprecher
229519,thom fitzgerald
50582,frederik du chau
6449,warren beatty
57579,don roos
258199,michael martin
95760,erik skjoldbjærg
85549,antonio tibaldi
206549,scott reynolds
4522,caroline link
13615,harry elfont
13614,deborah kaplan
588701,des mcanuff
75699,lisa cholodenko
33317,david leland
1205453,lavinia currier
110695,majid majidi
931795,tim kirkman
1031288,tiffanie debartolo
93133,christopher scott cherot
4883,manuel pradal
66190,tony bancroft
66191,barry cook
4575,marc evans
12523,rob bowman
73282,paddy breathnach
1232592,chris eyre
22461,vincent gallo
6431,darren aronofsky
1030415,susan skoog
44763,edward d. wood jr.
145605,harry beaumont
21311,wesley ruggles
34740,edmund goulding
72061,frank lloyd
49214,william dieterle
3359,laurence olivier
14875,robert rossen
8636,cecil b. demille
67451,delbert mann
18868,jerome robbins
58220,hugh hudson
31493,alex cox
55983,jim henson
11505,john hughes
62020,jack sholder
35475,sean s. cunningham
64195,joseph zito
58822,danny steinmann
63550,tom mcloughlin
64722,john carl buechler
64735,rob hedden
33341,rick rosenthal
11777,tommy lee wallace
32813,dominique othenin-girard
44130,paul lynch
92438,bruce pittman
35329,peter r. simpson
80523,ron oliver
180868,clay borris
65678,john lafia
28976,jack bender
10051,tobe hooper
33094,gary sherman
57922,william peter blatty
1035941,theresa connelly
82829,michael oblowitz
7501,ronald neame
7506,irwin allen
47893,gary nelson
15657,vincent mceveety
109452,jack donohue
109455,austen jewell
150003,graham heid
160942,norman wright
7270,adrian lyne
33316,david nutter
62514,tommy o'haver
125091,zhang yuan
11809,rupert wainwright
186518,jeff blyth
29646,charles jarrott
51516,steven hilliard stern
61677,burny mattinson
61678,david michener
65310,kenny ortega
89685,fletcher markle
17698,nancy meyers
12987,david zucker
115698,sarah kelly
226493,sandra goldbacher
10146,jacques tourneur
71732,peter masterson
67750,liliana cavani
225898,istván szabó
128947,jeremy kagan
74297,hendel butoy
69003,john lounsbery
34480,alan zaslove
139851,toby shelton
154,walter murch
115754,les clark
22066,eric larson
275022,harve foster
65874,xavier koller
2106,walt disney
12859,steven lisberger
18855,ralph s. singleton
16384,ralph bakshi
3027,stephen king
21819,lewis teague
66987,fritz kiersch
69605,dan kuenster
130816,jesse peretz
17871,john hamburg
141310,ulrike koch
3663,jerry lewis
106834,charles a. nichols
106835,iwao takamoto
70663,martin rosen
64949,phil nibbelink
1044,michael chapman
69331,ethan wiley
55668,jamie uys
87767,richard martin
70777,kevin rodney sullivan
54240,tamara jenkins
72191,pupi avati
37577,bigas luna
223312,chuck parello
22353,john de bello
1195866,peter george
10808,stephen norrington
19798,randa haines
111247,alan cohn
12991,pat proft
37948,brad anderson
15149,sarah kernochan
9198,vincent ward
126125,bill plympton
51950,robert bierman
4387,françois ozon
72450,bob saget
933,william nicholson
931244,jack hulbert
1547332,paul murray
130222,andré charlot
192852,francis lee
5877,vincenzo natali
16327,timothy hutton
42974,troy byer
57154,lance hool
16837,mark steven johnson
11057,robert towne
57138,tony bill
84657,lewis john carlino
253869,tamar simon hoffs
57383,paul brickman
143279,peter sellars
146225,silvio narizzano
19707,charles band
98199,jerry schatzberg
68085,carl schultz
707,dan aykroyd
15239,terry hughes
3180,david veloz
1075843,jerzy domaradzki
116653,lance mungia
1150813,ramin niami
59958,jamie blanks
42994,david dobkin
37630,shekhar kapur
78157,lindsay anderson
32154,piers haggard
18907,richard quine
12446,peter sellers
51677,gordon douglas
201278,susanna styron
18863,eric darnell
52870,tim johnson
554474,john pieplow
40307,john maybury
82286,marc levin
107065,arthur marks
15115,stefan ruzowitzky
1043813,evan dunsky
65482,william ryan
23964,gary ross
5345,bennett miller
4818,roberto benigni
34517,trey parker
13367,john harrison
814,tony kaye
75882,s.r. bindler
2163,richard lagravenese
139874,hype williams
769,martin brest
55189,bruce mcdonald
54563,j. todd anderson
58728,andrei konchalovsky
1077287,eugene corr
31439,bryan forbes
1214034,james d. parriott
86439,norton virgien
110873,igor kovalyov
8574,walter salles
21013,predrag antonijević
64045,kirk jones
4453,thomas vinterberg
18598,ishirô honda
1178751,koji hashimoto
52193,r.j. kizer
3238,merian c. cooper
3239,ernest b. schoedsack
6778,john guillermin
53861,susan seidelman
10179,john glen
41720,jerry paris
65688,jim drake
14995,alan myerson
14987,peter bonerz
20629,george miller
15002,dean parisot
109004,neil abramson
36602,peter berg
72197,ferzan ozpetek
58868,troy miller
59803,brenda chapman
44113,steve hickner
30038,glenn a. jordan
24939,george seaton
79726,john d. hancock
16483,sylvester stallone
5632,jack fisk
69801,alan metter
25598,paul greengrass
30715,terrence malick
54424,maya angelou
173686,anthony drazan
52371,j.s. cardone
26481,anand tucker
12227,willard carroll
70520,shane meadows
53177,brian robbins
58338,john bruno
51809,rod amateau
